headline,label
"મોદી સરકાર 1 ફેબ્રુઆરીએ વચગાળાનું બજેટ રજૂ કરશે, આ જાહેરાતો થઈ શકે",business
LIC પોલિસી ધારકો માટે મોટી ખબર! પ્રીમિયમ જમા કરવાનો નિયમ બદલાયો,business
"VIRAL VIDEO: મસ્તમૌલા અંદાજમાં રણવીર સિંહ, ચાર્લી ચૈપલિનને આ રીતે આપ્યું ટ્રીબ્યુટ",entertainment
શાહરૂખની સાથે ફિલ્મમાં કામ કરી ચુક્યો છે અનુષ્કાથી ઠપકો ખાધેલો વ્યક્તિ,entertainment
એકદમ બટરફ્લાઇ અવતારમાં જોવા મળી આ એક્ટ્રેસ,entertainment
"આજે અહીથી ખરીદો OnePlus 6, મળશે 25,000 રૂપિયા સુધીનો ફાયદો",tech
સલમાન સાથે પંગા બાદ નથી મળતો 'સોરી' અને 'થેન્ક્યૂ'નો ચાન્સ,entertainment
ફ્લાઈટમાં મોડુ થતાં હવે તમને મળશે રૂ. 20 હજાર! સરકારનો છે પ્રસ્તાવ,business
"Ford Aspire CNG ભારતમાં લોન્ચ, જાણી લો કિંમત",tech
ચિનના શાંધાઈમાં આઈસીઆઈસીઆઈ બેંક ખોલશે તેની નવી બ્રાંચ,business
"દીપિકાએ વોગ મેગેઝીન માટે કરાવ્યું ફોટોશૂટ, જુઓ હોટ Pics",entertainment
પ્રિયંકા ચોપડાના પતિ નિક જોનસને ડેટ કરવા માગે છે ભૂમિ પેડનેકર,entertainment
"એક દિવસની રાહત બાદ ફરી પેટ્રોલના ભાવમાં ભડકો, રૂ. 89.60 પ્રતિ લિટર",business
"સુકન્યા યોજનામાં 3 મોટા બદલાવ, 1000 નહીં હવે 250 રૂપિયામાં ખુલશે ખાતુ",business
બાળકોની ગણેશ પૂજા કરતી તસવીર શેર કરી ટ્રોલ થઇ ફરાહ ખાન,entertainment
શું છૂપાઇને રેખા સ્પેશલ એપિસોડ જોઇ રહ્યા હતા અમિતાભ?,entertainment
"હવે WhatsApp ગ્રૃપમાં બોલીને મોકલી શકશો મેસેજ, માત્ર આ યુઝર્સને થશે ફાયદો",tech
"Xiaomiના આ Smart TVનું આજથી સેલ, સાથે મળશે 80 વર્ષ માટે ફ્રી કન્ટેન્ટ",tech
